id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,-1,0,1,0,0
3,-1,0,1,0,0
8,-1,0,1,0,0
11,-1,0,1,0,0
12,11.874677898638778,0,1,1,1653
13,11.235077741488594,0,1,1,1773
14,36.173151745305745,0,1,1,823
15,47.930392022291336,0,1,1,1036
16,-1,0,1,0,0
17,6.006718315590135,0,1,1,1320
18,-1,0,1,0,0
19,10.355505117640222,1,1,1,807
22,-1,0,1,0,0
23,41.99030532995191,1,1,1,98
24,-1,0,1,0,0
26,-1,0,1,0,0
27,13.768599177809213,0,1,1,1124
28,5.28323598224449,1,1,1,980
29,9.58591906143799,0,1,1,1020
30,11.397905149948128,0,1,1,1324
31,14.182397679812357,0,1,1,1355
32,-1,0,1,0,0
33,22.10104671973614,0,1,1,3408
34,17.52363233210861,1,1,1,4467
35,17.1780394126786,0,1,1,2327
36,7.062177957345211,0,1,1,2485
37,6.343323559317966,1,1,1,2441
38,5.546964247545739,0,1,1,1423
39,-1,0,1,0,0
40,11.587299156592916,1,1,1,1316
41,17.334386512594367,0,1,1,1096
