id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,38.16899918669687,0,1,1,75
2,48.461497161137274,1,1,1,75
3,38.24823211902076,0,1,1,711
4,28.396409953224016,0,1,1,678
8,-1,0,1,0,0
11,54.16740589280319,0,1,1,65
12,17.533057466600955,0,1,1,650
13,68.99802199495144,0,1,1,734
14,59.03535132994703,0,1,1,865
15,49.35945090845601,0,1,1,746
16,71.99542821091435,0,1,1,871
17,28.51773232917872,0,1,1,806
18,60.795491978291935,0,1,1,578
19,29.977967346640753,0,1,1,513
22,47.72288407682141,0,1,1,50
23,55.90100794541827,0,1,1,72
24,43.52526379863493,0,1,1,719
26,48.907107669533985,0,1,1,1277
27,-1,0,1,0,0
28,-1,0,1,0,0
29,51.71490326207385,0,1,1,687
30,-1,0,1,0,0
31,33.39772691486946,0,1,1,652
32,39.570820655112755,0,1,1,593
33,54.398816177148284,0,1,1,742
34,152.52352561110163,0,1,1,965
35,53.69659133104646,0,1,1,988
36,14.63198542936084,0,1,1,1044
37,34.48394654532108,0,1,1,1066
38,18.63529445101994,1,1,1,1119
39,38.155942674577226,0,1,1,1248
40,-1,0,1,0,0
41,38.76876503943711,0,1,1,1272
