id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,8.039646177366008,0,1,1,481
4,82.4579585282434,0,1,1,50
6,60.06023285105622,0,1,1,43
9,46.21416289422438,0,1,1,124
10,32.038987153979846,0,1,1,144
23,43.55687263995303,0,1,1,81
26,30.34467898840626,1,1,1,61
27,47.61028897025103,0,1,1,67
31,50.13788442538883,0,1,1,65
32,35.62657507033999,0,1,1,61
34,108.28837674349286,1,1,1,109
35,-1,0,1,0,0
36,64.72778711404646,0,1,1,56
37,30.176163250290994,0,1,1,125
38,56.0914991741889,0,1,1,56
39,108.55763251273233,0,1,1,56
40,92.89746458860957,0,1,1,36
