id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,-1,0,1,0,0
3,11.165565147566136,0,1,1,909
4,15.432315077352014,0,1,1,927
5,20.17587354841213,0,1,1,1066
6,-1,0,1,0,0
7,-1,0,1,0,0
8,9.459588371511712,0,1,1,1437
11,-1,0,1,0,0
12,-1,0,1,0,0
13,-1,0,1,0,0
14,11.737746420029051,0,1,1,1309
15,20.635731635513803,1,1,1,1134
16,11.429499202864895,0,1,1,1300
17,7.9086148155297495,0,1,1,900
18,27.022096267463905,0,1,1,994
19,6.633322003388681,0,1,1,814
21,-1,0,1,0,0
22,-1,0,1,0,0
23,44.61973739733243,0,1,1,94
24,12.320441616070966,0,1,1,977
26,154.75896817449956,0,1,1,1605
27,19.063921412086877,0,1,1,1348
28,4.118888060296732,1,1,1,1306
30,-1,0,1,0,0
31,-1,0,1,0,0
32,-1,0,1,0,0
33,-1,0,1,0,0
34,-1,0,1,0,0
35,-1,0,1,0,0
36,-1,0,1,0,0
37,7.975088608581979,1,1,1,1755
38,7.599488997417161,1,1,1,1504
39,-1,0,1,0,0
40,-1,0,1,0,0
41,9.935489082339414,1,1,1,1366
