id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,0.0,1,1,1,121
3,8.424546780502963,0,1,1,1216
4,8.970698614913282,0,1,1,1040
8,0.011991990142716569,1,1,1,2211
11,-1,0,1,0,0
12,12.518957232527281,0,1,1,2047
13,-1,0,1,0,0
14,9.57490456087987,0,1,1,2222
15,21.11892725005483,0,1,1,1388
16,4.048451966760837,0,1,1,1430
17,12.46750660220004,0,1,1,1116
18,10.35013889417428,0,1,1,1571
19,18.99410623136981,0,1,1,900
22,47.95219628258927,0,1,1,95
23,34.58379741951954,0,1,1,120
24,12.916580217831635,0,1,1,1718
26,12.755228718331228,0,1,1,2478
27,10.819399853562565,0,1,1,1346
28,15.046230094828484,0,1,1,1153
29,8.25319720242367,0,1,1,902
30,15.56634114746082,0,1,1,788
31,22.11915104450582,0,1,1,691
32,21.639039098195276,0,1,1,764
33,21.792776998498674,1,1,1,1155
34,13.183616352694285,1,1,1,2029
35,13.029238399315854,1,1,1,1684
36,11.303975888231355,0,1,1,1962
37,9.504504870603999,0,1,1,2172
38,7.709267328163551,1,1,1,1417
39,7.411829014497444,1,1,1,1492
40,63.256348523351484,0,1,1,1027
41,12.000440495591555,0,1,1,1031
