id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.5298271787,1,1,1,695,0.5298271787,1,0
23,0.5181129727,1,1,1,727,0.5181129727,1,0
22,0.6363928163,1,1,1,624,0.6363928163,1,0
35,0.5047763855,1,1,1,378,0.5047763855,1,0
2,0.7550072411,1,1,1,5084,0.7550072411,1,0
9,0.5656181152,1,1,1,1348,0.5656181152,1,0
24,0.4307191345,1,1,1,346,0.4307191345,1,0
3,0.7714901066,1,1,1,375,0.7714901066,1,0
7,0.6788982199,1,1,1,374,0.6788982199,1,0
38,0.3940443808,0,1,1,333,0.3940443808,0,1
21,0.7187862336,0,1,1,272,0.7187862336,0,1
29,0.7058015243,0,1,1,278,0.7058015243,0,1
26,0.5237106965,1,1,1,491,0.5237106965,1,0
32,0.8506111871,1,1,1,475,,0,0
17,0.6950531004,1,1,1,10143,0.6950531004,1,0
25,0.7576950945,0,1,1,332,0.7576950945,0,1
37,0.4650329102,1,1,1,1038,0.4650329102,1,0
13,0.8701710346,1,1,1,730,,0,0
39,0.4802692028,1,1,1,590,0.4802692028,1,0
30,0.605936831,1,1,1,148,0.605936831,1,0
16,0.6003260088,1,1,1,889,0.6003260088,1,0
15,0.8650753439,0,1,1,1160,,0,0
36,0.7330220073,0,1,1,318,0.7330220073,0,1
33,0.6842755898,0,1,1,595,0.6842755898,0,1
1,0.1995200581,1,1,1,736,0.1995200581,1,0
6,0.7559997869,1,1,1,254,0.7559997869,1,0
12,0,0,1,0,0,,0,0
4,0.5974254743,1,1,1,266,0.5974254743,1,0
27,0.7056436966,1,1,1,383,0.7056436966,1,0
14,1.0000000283,0,1,1,1283,,0,0
34,0.6261383417,1,1,1,805,0.6261383417,1,0
28,0.5833017553,1,1,1,229,0.5833017553,1,0
11,0.6299956653,1,1,1,9799,0.6299956653,1,0
8,0.8872055445,0,1,1,8799,,0,0
10,0.4644142416,1,1,1,983,0.4644142416,1,0
40,0.5884303994,1,1,1,204,0.5884303994,1,0
