id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.3876870028,1,1,1,12402,0.3876870028,1,0
5,0.8101618077,0,1,1,15068,,0,0
23,0.6494342359,1,1,1,574,0.6494342359,1,0
14,0.6322563384,0,1,1,12310,0.6322563384,0,1
35,0.4841833013,1,1,1,12706,0.4841833013,1,0
2,0.6000950805,1,1,1,11713,0.6000950805,1,0
22,0.6142672492,1,1,1,419,0.6142672492,1,0
17,0.717829614,1,1,1,13213,0.717829614,1,0
28,0.4398282496,1,1,1,14682,0.4398282496,1,0
29,0.521146261,1,1,1,11569,0.521146261,1,0
11,0.650676655,0,1,1,975,0.650676655,0,1
38,0.4668296701,0,1,1,12790,0.4668296701,0,1
15,0.7086422935,0,1,1,12435,0.7086422935,0,1
26,0.6212928565,1,1,1,13252,0.6212928565,1,0
3,0.5954916607,1,1,1,15909,0.5954916607,1,0
32,0.6769407979,1,1,1,15138,0.6769407979,1,0
24,0.6577388981,1,1,1,12359,0.6577388981,1,0
16,0.5475477435,1,1,1,13968,0.5475477435,1,0
37,0.5151061105,1,1,1,6872,0.5151061105,1,0
18,0.8278667551,0,1,1,11860,,0,0
19,0.6437312871,1,1,1,13295,0.6437312871,1,0
12,0.479588669,1,1,1,13417,0.479588669,1,0
39,0.5958888124,0,1,1,13469,0.5958888124,0,1
13,0.6807703781,1,1,1,13004,0.6807703781,1,0
36,0.7121704537,1,1,1,7748,0.7121704537,1,0
1,0.6215016818,1,1,1,471,0.6215016818,1,0
6,0.7606232408,0,1,1,13519,0.7606232408,0,1
4,0.6967044375,1,1,1,15408,0.6967044375,1,0
30,0.623845733,1,1,1,11882,0.623845733,1,0
27,0.5726020849,1,1,1,14410,0.5726020849,1,0
20,0.7270800161,0,1,1,13074,0.7270800161,0,1
8,0.6989138615,1,1,1,12058,0.6989138615,1,0
9,0.497760564,1,1,1,9181,0.497760564,1,0
34,0.6118845508,1,1,1,13131,0.6118845508,1,0
7,0.6202361251,1,1,1,13951,0.6202361251,1,0
21,0,0,1,0,0,,0,0
10,0.402941303,1,1,1,9110,0.402941303,1,0
41,0.8622659774,0,1,1,14103,,0,0
25,0.7814617029,0,1,1,13189,0.7814617029,0,1
33,0.5828517863,0,1,1,13879,0.5828517863,0,1
40,0.343348454,1,1,1,14323,0.343348454,1,0
