id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.699180837,1,1,1,10754,0.699180837,1,0
5,0.8956394163,0,1,1,13699,,0,0
23,0.578002636,1,1,1,621,0.578002636,1,0
14,0.8871935158,0,1,1,12846,,0,0
35,0.8333228151,1,1,1,11447,,0,0
2,0,0,1,0,0,,0,0
22,0,0,1,0,0,,0,0
17,0.818243231,0,1,1,11951,,0,0
28,0.6821219225,1,1,1,12907,0.6821219225,1,0
29,0.6865503718,0,1,1,12526,0.6865503718,0,1
11,0,0,1,0,0,,0,0
38,0.7687637094,0,1,1,13441,0.7687637094,0,1
15,0.8199735138,0,1,1,13235,,0,0
26,0,0,1,0,0,,0,0
3,0.7789170622,1,1,1,12883,0.7789170622,1,0
32,0.7145962942,0,1,1,14929,0.7145962942,0,1
24,0.8439117044,0,1,1,12470,,0,0
16,0.8513283681,0,1,1,17517,,0,0
37,0.7315489616,0,1,1,13793,0.7315489616,0,1
18,0,0,1,0,0,,0,0
19,0.6791651485,0,1,1,14245,0.6791651485,0,1
12,0.6558332618,1,1,1,13241,0.6558332618,1,0
39,0,0,1,0,0,,0,0
13,0.6456126343,0,1,1,13401,0.6456126343,0,1
36,0.7485471212,0,1,1,12580,0.7485471212,0,1
1,0.8921903452,0,1,1,726,,0,0
6,0.5992061041,0,1,1,15265,0.5992061041,0,1
4,0.724010054,1,1,1,12422,0.724010054,1,0
30,0.9479313533,1,1,1,12529,,0,0
27,0.8394867944,0,1,1,11029,,0,0
8,0.6714479705,0,1,1,13036,0.6714479705,0,1
9,0,0,1,0,0,,0,0
34,0.6194088402,1,1,1,12905,0.6194088402,1,0
7,0.6415508718,0,1,1,14941,0.6415508718,0,1
10,0.6515300249,1,1,1,8489,0.6515300249,1,0
41,0.8762131912,0,1,1,12327,,0,0
25,0.8253172894,0,1,1,12311,,0,0
33,0.7152110077,0,1,1,12570,0.7152110077,0,1
40,0.5699137491,1,1,1,14992,0.5699137491,1,0
