id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.6604356578,1,1,1,12648,0.6604356578,1,0
23,0.4360938964,1,1,1,619,0.4360938964,1,0
14,0.77605196,0,1,1,15225,0.77605196,0,1
35,0.5020808761,1,1,1,13620,0.5020808761,1,0
2,0.9323121185,0,1,1,12450,,0,0
22,0.6964932157,1,1,1,404,0.6964932157,1,0
17,0.5904736593,1,1,1,12584,0.5904736593,1,0
28,0.5206110164,1,1,1,11796,0.5206110164,1,0
29,0.5740676219,1,1,1,11710,0.5740676219,1,0
11,0.5074757763,1,1,1,700,0.5074757763,1,0
38,0.3388231531,1,1,1,13833,0.3388231531,1,0
15,0,0,1,0,0,,0,0
21,0.7241017395,1,1,1,1289,0.7241017395,1,0
26,0.5452197812,1,1,1,11694,0.5452197812,1,0
3,0,0,1,0,0,,0,0
32,0.6583732837,1,1,1,11313,0.6583732837,1,0
24,0.7356263973,1,1,1,13049,0.7356263973,1,0
16,0,0,1,0,0,,0,0
37,0.357503509,1,1,1,11269,0.357503509,1,0
18,0,0,1,0,0,,0,0
19,0.38692131,1,1,1,12152,0.38692131,1,0
12,0.5275323489,1,1,1,13176,0.5275323489,1,0
39,0,0,1,0,0,,0,0
13,0.733399192,1,1,1,12389,0.733399192,1,0
36,0.5827432834,1,1,1,14749,0.5827432834,1,0
1,0.6302424714,1,1,1,795,0.6302424714,1,0
30,0.5977266413,1,1,1,11329,0.5977266413,1,0
27,0.59427461,1,1,1,13228,0.59427461,1,0
20,0.6218492407,0,1,1,11597,0.6218492407,0,1
8,0,0,1,0,0,,0,0
9,0.5556249709,1,1,1,7902,0.5556249709,1,0
34,0.3099589726,1,1,1,12279,0.3099589726,1,0
10,0.384148768,1,1,1,8277,0.384148768,1,0
41,0.6914384634,1,1,1,15180,0.6914384634,1,0
25,0.7931740083,0,1,1,14610,,0,0
33,0.6402669762,1,1,1,14092,0.6402669762,1,0
40,0.3130913972,1,1,1,12303,0.3130913972,1,0
