id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.5654057335,1,1,1,13336,0.5654057335,1,0
23,0.5473347238,1,1,1,648,0.5473347238,1,0
14,0,0,1,0,0,,0,0
35,0.5535991502,0,1,1,12536,0.5535991502,0,1
2,0.5605374655,1,1,1,640,0.5605374655,1,0
22,0.7410293739,1,1,1,448,0.7410293739,1,0
17,0.6514993011,1,1,1,12472,0.6514993011,1,0
28,0.5726971228,1,1,1,12284,0.5726971228,1,0
29,0.6384980543,0,1,1,12898,0.6384980543,0,1
11,0.5260264041,1,1,1,801,0.5260264041,1,0
38,0.5660044251,1,1,1,12561,0.5660044251,1,0
15,0.6111324379,0,1,1,11211,0.6111324379,0,1
21,0.8030726595,0,1,1,2738,,0,0
26,0.661401933,1,1,1,11987,0.661401933,1,0
3,0.6147492945,1,1,1,10995,0.6147492945,1,0
32,0.7059790872,1,1,1,13256,0.7059790872,1,0
24,0.7012311003,0,1,1,11695,0.7012311003,0,1
16,0.9465670149,0,1,1,13238,,0,0
25,0.7965228296,1,1,1,753,,0,0
37,0.7329926955,1,1,1,11796,0.7329926955,1,0
18,0.7375498318,0,1,1,13208,0.7375498318,0,1
19,0.8526754797,0,1,1,15121,,0,0
12,0.7825339787,0,1,1,11767,0.7825339787,0,1
39,0.6750204878,1,1,1,13011,0.6750204878,1,0
13,0.801252075,1,1,1,12560,,0,0
36,0.70783673,0,1,1,12770,0.70783673,0,1
1,0.4324483177,1,1,1,364,0.4324483177,1,0
4,0.5885602633,1,1,1,10687,0.5885602633,1,0
30,0,0,1,0,0,,0,0
27,0,0,1,0,0,,0,0
20,0,0,1,0,0,,0,0
8,0.6313644318,1,1,1,12314,0.6313644318,1,0
34,0.7837338831,1,1,1,12264,0.7837338831,1,0
41,0.6962911697,1,1,1,12595,0.6962911697,1,0
33,0.597505451,0,1,1,14316,0.597505451,0,1
40,0.654066956,1,1,1,12720,0.654066956,1,0
