id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,5808.280299971623,0,1,1,144
2,-1,0,1,0,0
3,-1,0,1,0,0
4,4443.3599517180655,1,1,1,1305
5,5237.870307796488,0,1,1,1506
6,-1,0,1,0,0
7,-1,0,1,0,0
8,-1,0,1,0,0
11,-1,0,1,0,0
12,-1,0,1,0,0
13,-1,0,1,0,0
14,6676.139166060326,1,1,1,2043
15,6112.513544735575,1,1,1,1619
16,-1,0,1,0,0
17,6129.568814460667,0,1,1,1249
18,-1,0,1,0,0
19,-1,0,1,0,0
22,-1,0,1,0,0
23,3959.4669727145,1,1,1,105
24,4508.164459703221,0,1,1,767
26,-1,0,1,0,0
27,6639.1322004987915,0,1,1,1610
28,5258.897179309583,0,1,1,1167
29,6023.74567782197,0,1,1,1326
30,5581.644196185699,0,1,1,1624
31,-1,0,1,0,0
32,5266.831201260003,1,1,1,1106
33,5147.668248173642,0,1,1,1719
34,7033.765188280305,0,1,1,1652
35,6844.761794438103,0,1,1,1597
36,-1,0,1,0,0
37,6424.202466822242,0,1,1,1918
38,6798.19698952378,0,1,1,1260
39,-1,0,1,0,0
40,4719.779715844856,0,1,1,1096
41,6693.630058994975,1,1,1,1127
