id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,5689.124841237668,0,1,1,75
2,6503.67360578032,1,1,1,75
3,7402.397359275313,0,1,1,711
4,8224.32335993578,0,1,1,678
8,-1,0,1,0,0
11,7992.900092689611,0,1,1,65
12,5041.23507389351,0,1,1,650
13,9384.382948895616,0,1,1,734
14,8607.911808781691,0,1,1,865
15,6685.131023309834,0,1,1,746
16,9645.342735092196,0,1,1,871
17,6634.450655709823,0,1,1,806
18,4337.608358355699,0,1,1,578
19,7296.65763625768,0,1,1,513
22,5492.878505224799,0,1,1,50
23,8906.687771133456,0,1,1,72
24,8089.123086774934,0,1,1,719
26,6933.601618289929,0,1,1,1277
27,-1,0,1,0,0
28,-1,0,1,0,0
29,8866.003012050238,0,1,1,687
30,-1,0,1,0,0
31,6410.88680970657,0,1,1,652
32,5864.360365959824,0,1,1,593
33,8418.476238997722,0,1,1,742
34,7559.708959560808,0,1,1,965
35,8999.62292636695,0,1,1,988
36,7373.577574774502,0,1,1,1044
37,6884.317519384286,0,1,1,1066
38,6668.252407345086,0,1,1,1119
39,8271.215728015619,0,1,1,1248
40,-1,0,1,0,0
41,7793.411288554171,0,1,1,1272
