id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,0.0,1,1,1,121
3,5494.8813182179665,0,1,1,1216
4,4386.718492065961,0,1,1,1040
8,0.6061720640218691,1,1,1,2211
11,-1,0,1,0,0
12,5746.0521399981135,0,1,1,2047
13,-1,0,1,0,0
14,6645.51719944748,0,1,1,2222
15,6972.1543111355895,0,1,1,1388
16,5450.472503515468,0,1,1,1430
17,5897.486959967611,0,1,1,1116
18,5879.460561896099,0,1,1,1571
19,4140.799480183983,0,1,1,900
22,7912.012007151188,0,1,1,95
23,5162.789875204954,0,1,1,120
24,6202.7246304849605,0,1,1,1718
26,5712.440949354682,0,1,1,2478
27,4890.485163235156,0,1,1,1346
28,6174.577797811845,0,1,1,1153
29,4883.418338137492,0,1,1,902
30,5135.624408417387,0,1,1,788
31,5169.2997437889735,0,1,1,691
32,5408.083737700608,0,1,1,764
33,3167.669168446651,1,1,1,1155
34,4945.517232225064,0,1,1,2029
35,4515.582548560266,1,1,1,1684
36,6776.441875989039,0,1,1,1962
37,6137.226903988097,0,1,1,2172
38,5056.471985237885,0,1,1,1417
39,5755.116952208563,1,1,1,1492
40,6901.277718108258,0,1,1,1027
41,6154.09476981388,0,1,1,1031
