id,confidence,reconized,detectedImage1,detectedImage2,responsetime
2,-1,0,1,0,0
3,0.0,1,1,1,701
4,0.0,1,1,1,720
5,0.0,1,1,1,899
6,0.0,1,1,1,894
7,0.0,1,1,1,898
8,-1,0,1,0,0
11,-1,0,1,0,0
12,0.0,1,1,1,1154
13,0.0,1,1,1,1655
14,0.0,1,1,1,2083
15,0.0,1,1,1,1364
16,0.0,1,1,1,1201
17,0.0,1,1,1,1327
18,0.0,1,1,1,78
19,0.0,1,1,1,1019
22,0.0,1,1,1,53
23,0.0,1,1,1,106
24,0.0,1,1,1,1079
26,0.0,1,1,1,2065
27,0.0,1,1,1,1369
28,0.0,1,1,1,1207
29,0.0,1,1,1,1454
30,0.0,1,1,1,2140
31,0.0,1,1,1,1382
32,0.0,1,1,1,1078
34,0.0,1,1,1,1537
35,0.0,1,1,1,2410
36,0.0,1,1,1,2107
37,0.0,1,1,1,2184
38,0.0,1,1,1,1440
39,0.0,1,1,1,1311
40,0.0,1,1,1,1393
41,0.0,1,1,1,1413
