id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,-1,0,1,0,0
3,6329.541186893326,0,1,1,909
4,6509.496890291474,0,1,1,927
5,5572.470514640488,0,1,1,1066
6,-1,0,1,0,0
7,-1,0,1,0,0
8,5182.480892334639,0,1,1,1437
11,-1,0,1,0,0
12,-1,0,1,0,0
13,-1,0,1,0,0
14,6831.202942340141,0,1,1,1309
15,7346.185115366203,0,1,1,1134
16,5666.52150185129,1,1,1,1300
17,6158.971744591077,0,1,1,900
18,7185.72694815493,0,1,1,994
19,5533.048755717607,1,1,1,814
21,-1,0,1,0,0
22,-1,0,1,0,0
23,5635.227469227656,0,1,1,94
24,5973.992140021231,1,1,1,977
26,4751.1270053369035,0,1,1,1605
27,5828.290785943067,0,1,1,1348
28,4205.4792587702905,1,1,1,1306
30,-1,0,1,0,0
31,-1,0,1,0,0
32,-1,0,1,0,0
33,-1,0,1,0,0
34,-1,0,1,0,0
35,-1,0,1,0,0
36,-1,0,1,0,0
37,4240.195292498114,0,1,1,1755
38,6322.545215003353,0,1,1,1504
39,-1,0,1,0,0
40,-1,0,1,0,0
41,5146.159737686462,0,1,1,1366
