id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,4823.721486371559,0,1,1,481
4,5499.229598822185,0,1,1,50
6,7388.233174520811,0,1,1,43
9,4736.274049595242,0,1,1,124
10,4403.966987305147,0,1,1,144
23,6171.162907988528,0,1,1,81
26,5469.240284940827,1,1,1,61
27,4686.451998220436,0,1,1,67
31,6509.924743780941,0,1,1,65
32,3556.7467051939316,1,1,1,61
34,8611.669594463607,0,1,1,109
35,-1,0,1,0,0
36,5868.392686742933,0,1,1,56
37,6461.856519223039,0,1,1,125
38,3669.4642531327004,0,1,1,56
39,4744.252622510105,0,1,1,56
40,5252.533632595208,0,1,1,36
