id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2,trained
1,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png,http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520786681/1_.jpg,0.562361538,0,2839,1,1,1
2,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777391/ix75mek9ebtpvon7tdak.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778018/plfouihy3hsphvopnqh8.jpg,0.694098,1,3685,1,1,1
3,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777432/y5yednph0jcn4hnonldd.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778040/vwi05pnpijpzc9l0llv1.jpg,,0,2355,0,0,1
8,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777459/pwagdre28qftcwuxlgy8.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778048/vivix7jhtksi2mwtp8z4.jpg,,0,3467,1,1,1
9,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777472/apgzhjlwurqix8rjcyp9.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778051/fepqbvaoatnhfjed7a3k.jpg,0.61035943,1,3578,1,1,1
10,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777973/mjixytcrnwokg0jyflry.jpg,0.7935296,1,3345,1,1,1
11,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777974/b0jksrtx27jq4m9flc0e.jpg,0.6212878,1,2596,1,1,1
12,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777976/dl5wbo9lirjk3incf0mt.jpg,0.7682096,1,3364,1,1,0
13,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777324/iocppeufniacfkomz3jc.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777978/dmbkjs2w6orxlx6ofnkl.jpg,0.815012,1,3408,1,1,0
14,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777329/saeusgquhf0888eglyuy.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777981/e1lkfivptp6oa2uq8vml.jpg,,0,3341,1,1,0
15,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777331/wyj8a491q56ifukotsnn.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777983/dueeygvifxpjuzwcg6xm.jpg,,0,3390,1,1,0
16,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777333/ug687eekotwoueqtchcx.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777988/itr9giolm11ogwm8ravu.jpg,,0,3439,1,1,0
17,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777335/jaa17fx4wcgkxkruvxzh.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777990/jqrpyphuslpeyjiiszmb.jpg,0.646900058,1,3377,1,1,0
18,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520784050/18_.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777992/x8pz0unpjjybc2rkpe87.jpg,,0,2407,0,0,0
