id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.3328831582633503,1,1,1,11426
23,0.35728594372230543,1,1,1,838
14,,0,1,0,0
35,0.3828806289858945,1,1,1,12403
2,0.4958375589324159,1,1,1,839
22,0.3945064044716623,1,1,1,713
17,0.4601278192857059,1,1,1,10756
28,0.32142062804773786,1,1,1,10438
29,0.300710007846558,1,1,1,10325
11,0.36158850374016493,1,1,1,1128
38,0.2993463864724384,1,1,1,10933
15,0.5579172481875467,1,1,1,10557
21,,0,1,1,0
26,0.3813762308964834,1,1,1,8969
3,0.38333638721934904,1,1,1,10100
32,0.3614320501235958,1,1,1,9752
24,0.4363649704452484,1,1,1,10485
16,0.5127801564088614,1,1,1,10899
25,0.4199986955448176,1,1,1,770
37,0.35170128099202647,1,1,1,9761
18,0.5208035052126466,0,1,1,10172
19,0.43676750940213305,1,1,1,11090
12,0.34291832173697373,1,1,1,10110
39,0.4006574621365487,1,1,1,10343
13,0.39873233627892213,1,1,1,9877
36,0.4071103821741893,1,1,1,11915
1,0.4093298916648734,1,1,1,807
4,0.35453342057517717,1,1,1,11023
30,,0,1,0,0
27,,0,1,0,0
20,,0,1,0,0
8,0.5959093384972657,0,1,1,10414
34,0.46176359739003686,1,1,1,10255
41,0.35294250086672113,1,1,1,11127
33,0.3306319684022799,1,1,1,10729
40,0.32937930235725893,1,1,1,9798
