id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.29530249303152756,1,1,1,10415
23,0.37427559573972397,1,1,1,955
14,0.5109745343725772,1,1,1,10802
35,0.2813112866257041,1,1,1,12104
2,0.4548670449629671,1,1,1,11457
22,0.37196412490476155,1,1,1,516
17,0.44565075422313394,1,1,1,10790
28,0.31886399217303135,1,1,1,9728
29,0.2717924834763611,1,1,1,11485
11,0.4041666866059414,1,1,1,808
38,0.3329992605287863,1,1,1,10621
15,,0,1,0,0
21,0.3876121370750054,1,1,1,1275
26,0.4379473872424717,1,1,1,10504
3,,0,1,0,0
32,0.34550574458571703,1,1,1,12733
24,0.4457788653927104,1,1,1,11149
16,,0,1,0,0
37,0.2497212672078331,1,1,1,9037
18,,0,1,0,0
19,0.2226552980730994,1,1,1,12481
12,0.3286969270517582,1,1,1,11212
39,0.4217170073171081,1,1,1,10214
13,0.26354133402078395,1,1,1,11398
36,0.36256785041232914,1,1,1,12187
1,0.34259593617242134,1,1,1,1121
30,0.29238506189547075,1,1,1,11100
27,0.3877620702240888,1,1,1,10818
20,0.3106771797680262,1,1,1,10383
8,,0,1,0,0
9,,0,1,0,0
34,0.3970588812200383,1,1,1,11120
10,,0,1,0,0
41,0.3135524172393729,1,1,1,10260
25,0.4202540168624888,1,1,1,9079
33,0.44317618452238655,1,1,1,10845
40,0.2697002491194759,1,1,1,10409
