id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.5116731445231958,0,1,1,9341
5,0.4244453795174635,1,1,1,11534
23,0.33186431405426664,1,1,1,819
14,0.30690796127335085,1,1,1,11544
35,0.4437082972522959,1,1,1,11919
2,,0,1,0,0
22,,0,1,0,0
17,0.38908478640855343,1,1,1,11064
28,0.3522162630956941,1,1,1,11622
11,,0,1,0,0
38,0.36914737743556786,1,1,1,10000
15,0.33891185257372686,1,1,1,11236
29,0.38755807365226064,1,1,1,413
26,0.3140378295627877,1,1,1,10751
3,0.3611359725400059,1,1,1,9745
32,,0,1,0,0
24,0.47758165130227953,1,1,1,11237
16,0.3580455003148531,1,1,1,10824
37,0.34774242738625544,1,1,1,10387
18,0.3642087794249343,1,1,1,9729
19,0.27164195554832943,1,1,1,10592
12,0.4935206012518641,1,1,1,9744
39,0.3650553196883655,1,1,1,9741
13,,0,1,1,0
36,0.35831843987989614,1,1,1,9742
1,0.45040812034752636,1,1,1,810
6,0.4479024258596921,1,1,1,9733
4,0.4620047662984369,1,1,1,10005
30,0.44146255499200626,1,1,1,9729
27,0.375953241918792,1,1,1,9733
20,,0,1,0,0
8,0.3922450839228547,1,1,1,10902
9,,0,1,0,0
34,0.43814734768044045,1,1,1,10116
7,0.413580151710279,1,1,1,10111
21,,0,1,1,0
10,,0,1,1,0
41,0.4120559452304893,1,1,1,10189
25,0.3700603543799725,1,1,1,9781
33,0.4843943607815486,1,1,1,11228
40,0.32777587024866234,1,1,1,10751
