id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.337533856000533,1,1,1,10292
5,0.5266323018607952,1,1,1,11501
23,0.42295041787178467,1,1,1,953
14,0.34732745112498514,1,1,1,10502
35,0.3034853182463818,1,1,1,10657
2,0.2965378782408113,1,1,1,10150
22,0.40816343580665587,1,1,1,485
17,0.4610038056637718,1,1,1,11574
28,0.3402876151897503,1,1,1,10735
29,0.2629348529686151,1,1,1,10649
11,0.3366803503633197,1,1,1,1112
38,0.417919229340916,1,1,1,10851
15,0.4861182596446699,1,1,1,9784
26,0.3658280311418507,0,1,1,12630
3,0.3909733301886952,1,1,1,10964
32,0.38211105547948204,1,1,1,9895
24,0.45850568143425074,1,1,1,11520
16,0.46159300197926273,1,1,1,10401
37,0.36802608756194166,1,1,1,4907
18,0.347621989003222,1,1,1,11787
19,0.3927359531939676,1,1,1,10513
12,0.3752959162584474,1,1,1,10222
39,0.5922695582959866,0,1,1,9999
13,0.4446718773645383,1,1,1,9304
36,0.3958228915050351,1,1,1,5238
1,0.4453580179899917,1,1,1,790
6,0.5254822359522809,1,1,1,11581
4,0.4390751296029127,1,1,1,10194
30,0.35355892991310356,1,1,1,11193
27,0.4127926059952035,1,1,1,10001
20,0.336960235184481,1,1,1,9728
8,0.4336092182845211,1,1,1,10018
9,,0,1,0,0
34,0.37955633932206984,1,1,1,11158
7,0.32984456413658175,1,1,1,10792
21,,0,1,0,0
10,,0,1,0,0
41,,0,1,1,0
25,0.41342100584037167,1,1,1,11279
33,0.3808734913954128,1,1,1,10281
40,0.3218886220493999,1,1,1,9813
