id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.2922017520308499,1,1,1,9886
23,0.2979172715839607,1,1,1,820
14,0.3617897257638791,1,1,1,10737
35,0.2784098476768316,1,1,1,9796
2,0.41659135779424394,1,1,1,748
22,0.37236193571730647,1,1,1,590
17,0.4461838246618824,1,1,1,9737
28,0.3186058386291874,1,1,1,9739
29,0.2745162253497913,1,1,1,9722
11,0.3450459264155741,1,1,1,823
38,0.27572575132629645,1,1,1,9743
15,0.4953345609938955,1,1,1,11613
21,0.4795086177292112,1,1,1,1965
26,0.3171417909814534,1,1,1,10814
3,0.38713967946112743,1,1,1,10363
32,0.38201098799577454,1,1,1,9826
24,0.40192340583345354,1,1,1,11154
16,0.3653993677686895,1,1,1,10168
25,0.41431277415888085,1,1,1,775
37,0.2714976223272318,1,1,1,9774
18,0.4583011053546997,0,1,1,10047
19,0.3192369066087064,1,1,1,9330
12,0.3274337679978869,1,1,1,10689
39,0.3482445075149225,1,1,1,11538
13,0.3645007469350993,1,1,1,12075
36,0.382666741649104,1,1,1,9766
1,0.39157852928176884,1,1,1,583
4,0.32093886958159135,1,1,1,9739
30,0.35958179394675877,1,1,1,9117
27,0.3416994364837061,1,1,1,12287
20,,0,1,0,0
8,0.06321836097263157,1,1,1,10092
34,0.28988960938629266,1,1,1,11817
41,0.2564270573307477,1,1,1,9777
33,0.06905199076055887,1,1,1,9784
40,0.2302480967786101,1,1,1,9777
